Parameter      | Pump     | Autotune 
-------------------------------------
ISF [mg/dL/U]  | 81.000   | 78.300   
Carb Ratio[g/U]| 7.000    | 6.777    
Basals [U/hr]  | -        |
  00:00        | 0.600    | 0.616    
  00:30        |          |          
  01:00        |          | 0.603    
  01:30        |          |          
  02:00        |          | 0.599    
  02:30        |          |          
  03:00        |          | 0.599    
  03:30        |          |          
  04:00        |          | 0.590    
  04:30        |          |          
  05:00        |          | 0.598    
  05:30        |          |          
  06:00        |          | 0.594    
  06:30        |          |          
  07:00        |          | 0.593    
  07:30        |          |          
  08:00        | 0.850    | 0.839    
  08:30        |          |          
  09:00        | 0.700    | 0.712    
  09:30        |          |          
  10:00        |          | 0.686    
  10:30        |          |          
  11:00        |          | 0.660    
  11:30        |          |          
  12:00        |          | 0.663    
  12:30        |          |          
  13:00        |          | 0.689    
  13:30        |          |          
  14:00        |          | 0.703    
  14:30        |          |          
  15:00        |          | 0.700    
  15:30        |          |          
  16:00        |          | 0.700    
  16:30        |          |          
  17:00        |          | 0.700    
  17:30        |          |          
  18:00        |          | 0.700    
  18:30        |          |          
  19:00        |          | 0.700    
  19:30        |          |          
  20:00        |          | 0.700    
  20:30        |          |          
  21:00        |          | 0.694    
  21:30        |          |          
  22:00        |          | 0.707    
  22:30        |          |          
  23:00        | 0.850    | 0.858    
  23:30        |          |          
